,title,artist,region,year,stream,Rank
1662,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Greece,2017,896702,3
1663,rockstar,"Post Malone, 21 Savage",Greece,2017,871074,4
1664,HUMBLE.,Kendrick Lamar,Greece,2017,799725,5
1665,New Rules,Dua Lipa,Greece,2017,780746,6
1666,Attention,Charlie Puth,Greece,2017,729866,7
1667,Havana,"Camila Cabello, Young Thug",Greece,2017,718932,8
1668,Believer,Imagine Dragons,Greece,2017,709547,9
1669,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Greece,2017,640638,10
1670,E先生 連環不幸事件,Edan 呂爵安,Hong Kong,2021,6648870,1
1671,一人之境 in C major,Terence Lam,Hong Kong,2021,6160372,2
1672,時光倒流一句話,Terence Lam,Hong Kong,2021,5285672,3
1673,隔離 - Studio Live Duet,"Jace Chan, Terence Lam",Hong Kong,2021,4550339,4
1674,下一位前度,Terence Lam,Hong Kong,2021,4205576,5
1675,銀河修理員,Dear Jane,Hong Kong,2021,4075601,6
1676,神奇的糊塗魔藥,Terence Lam,Hong Kong,2021,3846638,7
1677,俏郎君,Hins Cheung,Hong Kong,2021,3723011,8
1678,反對無效,MC 張天賦,Hong Kong,2021,3722544,9
1679,鯨落,陳卓賢 Ian,Hong Kong,2021,3651176,10
1680,Shape of You,Ed Sheeran,Italy,2017,37756493,1
1681,Despacito (Featuring Daddy Yankee),Luis Fonsi,Italy,2017,30528209,2
1682,Something Just Like This,"The Chainsmokers, Coldplay",Italy,2017,26044678,3
1683,Senza Pagare VS T-Pain (feat. T-Pain),"J-AX, Fedez",Italy,2017,24521381,4
1684,La musica non c'è,Coez,Italy,2017,21982560,5
1685,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Italy,2017,20744376,6
1686,Thunder,Imagine Dragons,Italy,2017,19595543,7
1687,Believer,Imagine Dragons,Italy,2017,18801538,8
1688,Tran Tran,Sfera Ebbasta,Italy,2017,18257906,9
1689,Galway Girl,Ed Sheeran,Italy,2017,18154405,10
1690,Shape of You,Ed Sheeran,Latvia,2017,878169,1
1691,HUMBLE.,Kendrick Lamar,Latvia,2017,595545,2
1692,Thunder,Imagine Dragons,Latvia,2017,552940,3
1693,rockstar,"Post Malone, 21 Savage",Latvia,2017,518123,4
1694,Unforgettable,"French Montana, Swae Lee",Latvia,2017,459738,5
1695,Something Just Like This,"The Chainsmokers, Coldplay",Latvia,2017,456500,6
1696,Believer,Imagine Dragons,Latvia,2017,453998,7
1697,Congratulations,"Post Malone, Quavo",Latvia,2017,435149,8
1698,More Than You Know,Axwell /\ Ingrosso,Latvia,2017,382339,9
1699,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Latvia,2017,354222,10
1700,bad guy,Billie Eilish,Latvia,2019,1091704,1
1701,Dance Monkey,Tones And I,Latvia,2019,703398,2
1702,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Latvia,2019,698201,3
1703,Señorita,"Shawn Mendes, Camila Cabello",Latvia,2019,695031,4
1704,Wow.,Post Malone,Latvia,2019,624516,5
1705,when the party's over,Billie Eilish,Latvia,2019,616848,6
1706,7 rings,Ariana Grande,Latvia,2019,586558,7
1707,Beautiful People (feat. Khalid),Ed Sheeran,Latvia,2019,548587,8
1708,Someone You Loved,Lewis Capaldi,Latvia,2019,543664,9
1709,I Got Love,"MiyaGi & Endspiel, Rem Digga",Latvia,2019,537882,10
1710,Blinding Lights,The Weeknd,Lithuania,2020,1810132,1
1711,Roses - Imanbek Remix,SAINt JHN,Lithuania,2020,1352452,2
1712,Watermelon Sugar,Harry Styles,Lithuania,2020,1171626,3
1713,The Box,Roddy Ricch,Lithuania,2020,1012409,4
1714,Don't Start Now,Dua Lipa,Lithuania,2020,995273,5
1715,Dance Monkey,Tones And I,Lithuania,2020,866339,6
1716,everything i wanted,Billie Eilish,Lithuania,2020,823578,7
1717,On Fire,THE ROOP,Lithuania,2020,802204,8
1718,Breaking Me,"Topic, A7S",Lithuania,2020,789906,9
1719,Adore You,Harry Styles,Lithuania,2020,767663,10
1720,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Norway,2018,18719351,1
1721,Sommerkroppen,Mads Hansen,Norway,2018,16832140,2
1722,Better Now,Post Malone,Norway,2018,16022198,3
1723,Youngblood,5 Seconds of Summer,Norway,2018,15215009,4
1724,Flames,"David Guetta, Sia",Norway,2018,14944956,5
1725,Ignite (feat. SEUNGRI),"K-391, Alan Walker, Julie Bergan",Norway,2018,14932267,6
1726,God's Plan,Drake,Norway,2018,14512048,7
1727,In My Mind,"Dynoro, Gigi D'Agostino",Norway,2018,14239636,8
1728,Solo (feat. Demi Lovato),Clean Bandit,Norway,2018,13997312,9
1729,Drink About,"Seeb, Dagny",Norway,2018,13596567,10
1730,Despacito (Featuring Daddy Yankee),Luis Fonsi,Panama,2017,2259789,1
1731,Me Rehúso,Danny Ocean,Panama,2017,2232602,2
1732,Shape of You,Ed Sheeran,Panama,2017,2080010,3
1733,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Panama,2017,1899239,4
1734,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Panama,2017,1725838,5
1735,El Amante,Nicky Jam,Panama,2017,1650860,6
1736,Otra vez (feat. J Balvin),Zion & Lennox,Panama,2017,1607985,7
1737,Escápate Conmigo,"Wisin, Ozuna",Panama,2017,1595836,8
1738,Felices los 4,Maluma,Panama,2017,1583622,9
1739,Mi Gente,"J Balvin, Willy William",Panama,2017,1441938,10
1740,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Paraguay,2018,3873354,1
1741,Toda - Remix,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",Paraguay,2018,3430726,2
1742,Vaina Loca,"Ozuna, Manuel Turizo",Paraguay,2018,3388901,3
1743,La player (Bandolera),Zion & Lennox,Paraguay,2018,3382022,4
1744,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Paraguay,2018,3203488,5
1745,No Es Justo,"J Balvin, Zion & Lennox",Paraguay,2018,3117970,6
1746,Quiere Beber,Anuel AA,Paraguay,2018,2988517,7
1747,Te Amo,"Piso 21, Paulo Londra",Paraguay,2018,2841264,8
1748,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Paraguay,2018,2834264,9
1749,Nena Maldicion (feat. Lenny Tavarez),"Paulo Londra, Lenny Tavárez",Paraguay,2018,2833963,10
1750,Bandido,"Myke Towers, Juhn",Paraguay,2021,11759971,1
1751,Yonaguni,Bad Bunny,Paraguay,2021,11021162,2
1752,DÁKITI,"Bad Bunny, Jhay Cortez",Paraguay,2021,10472397,3
1753,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Paraguay,2021,10067495,4
1754,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Paraguay,2021,8852298,5
1755,Todo De Ti,Rauw Alejandro,Paraguay,2021,8594161,6
1756,Volando - Remix,"Mora, Bad Bunny, Sech",Paraguay,2021,7897319,7
1757,2/Catorce,"Rauw Alejandro, Mr. Naisgai",Paraguay,2021,7878228,8
1758,Pareja Del Año,"Sebastian Yatra, Myke Towers",Paraguay,2021,7647897,9
1759,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Paraguay,2021,7220529,10
1760,Me Rehúso,Danny Ocean,Peru,2017,20691417,1
1761,Despacito (Featuring Daddy Yankee),Luis Fonsi,Peru,2017,18640235,2
1762,Felices los 4,Maluma,Peru,2017,16246140,3
1763,Shape of You,Ed Sheeran,Peru,2017,15918424,4
1764,El Amante,Nicky Jam,Peru,2017,13488634,5
1765,Otra vez (feat. J Balvin),Zion & Lennox,Peru,2017,13173680,6
1766,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Peru,2017,12967977,7
1767,Escápate Conmigo,"Wisin, Ozuna",Peru,2017,12635579,8
1768,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Peru,2017,11893884,9
1769,Reggaetón Lento (Bailemos),CNCO,Peru,2017,11892709,10
1770,Binibini,Zack Tabudlo,Philippines,2021,51940308,1
1771,drivers license,Olivia Rodrigo,Philippines,2021,50715870,2
1772,At My Worst,Pink Sweat$,Philippines,2021,45180676,3
1773,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Philippines,2021,43439424,4
1774,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Philippines,2021,39369897,5
1775,Heartbreak Anniversary,Giveon,Philippines,2021,39332586,6
1776,Butter,BTS,Philippines,2021,38068310,7
1777,deja vu,Olivia Rodrigo,Philippines,2021,37815317,8
1778,Dynamite,BTS,Philippines,2021,37415747,9
1779,Nangangamba,Zack Tabudlo,Philippines,2021,37182407,10
1780,Dance Monkey,Tones And I,Saudi Arabia,2020,3841091,1
1781,وناسه,DJ-MK,Saudi Arabia,2020,3743559,2
1782,Warqa,Saif Amer,Saudi Arabia,2020,3371980,3
1783,عشق,Faisal Abdulkareem,Saudi Arabia,2020,2964529,4
1784,The Box,Roddy Ricch,Saudi Arabia,2020,2876730,5
1785,Falling,Trevor Daniel,Saudi Arabia,2020,2562268,6
1786,Maktoob Ma Artah,Ahmed Al Maslawi,Saudi Arabia,2020,2483673,7
1787,lovely (with Khalid),Billie Eilish,Saudi Arabia,2020,2334788,8
1788,Al Mafrood,Aseel Hameem,Saudi Arabia,2020,2312223,9
1789,HIGHEST IN THE ROOM,Travis Scott,Saudi Arabia,2020,2102115,10
1790,Astronaut In The Ocean,Masked Wolf,Slovakia,2021,2126561,1
1791,MONTERO (Call Me By Your Name),Lil Nas X,Slovakia,2021,2076760,2
1792,The Business,Tiësto,Slovakia,2021,2023044,3
1793,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Slovakia,2021,1956781,4
1794,Beggin',Måneskin,Slovakia,2021,1831450,5
1795,STAY (with Justin Bieber),The Kid LAROI,Slovakia,2021,1821314,6
1796,Bad Habits,Ed Sheeran,Slovakia,2021,1688648,7
1797,I WANNA BE YOUR SLAVE,Måneskin,Slovakia,2021,1646415,8
1798,Heat Waves,Glass Animals,Slovakia,2021,1642703,9
1799,Levitating (feat. DaBaby),Dua Lipa,Slovakia,2021,1559345,10
1800,Butter,BTS,South Korea,2021,3500142,1
1801,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,South Korea,2021,2678100,2
1802,Dynamite,BTS,South Korea,2021,2442578,3
1803,STAY (with Justin Bieber),The Kid LAROI,South Korea,2021,2317087,4
1804,Next Level,aespa,South Korea,2021,2251282,5
1805,Permission to Dance,BTS,South Korea,2021,2126153,6
1806,LILAC,IU,South Korea,2021,1755430,7
1807,Kiss Me More (feat. SZA),Doja Cat,South Korea,2021,1646261,8
1808,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",South Korea,2021,1527375,9
1809,Celebrity,IU,South Korea,2021,1506052,10
1810,Shape of You,Ed Sheeran,Switzerland,2017,9784521,1
1811,Despacito (Featuring Daddy Yankee),Luis Fonsi,Switzerland,2017,6048366,2
1812,Unforgettable,"French Montana, Swae Lee",Switzerland,2017,4980106,3
1813,Something Just Like This,"The Chainsmokers, Coldplay",Switzerland,2017,4586894,4
1814,It Ain't Me (with Selena Gomez),Kygo,Switzerland,2017,4433186,5
1815,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Switzerland,2017,4207035,6
1816,Thunder,Imagine Dragons,Switzerland,2017,4081038,7
1817,More Than You Know,Axwell /\ Ingrosso,Switzerland,2017,3975294,8
1818,Believer,Imagine Dragons,Switzerland,2017,3732386,9
1819,Solo Dance,Martin Jensen,Switzerland,2017,3637424,10
1820,Shape of You,Ed Sheeran,Turkey,2017,18171401,1
1821,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Turkey,2017,10036161,2
1822,Raf,"Deeperise, Jabbar",Turkey,2017,10010663,3
1823,Believer,Imagine Dragons,Turkey,2017,9416037,4
1824,Sen Olsan Bari,Aleyna Tilki,Turkey,2017,9123814,5
1825,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Turkey,2017,8797191,6
1826,Starboy,"The Weeknd, Daft Punk",Turkey,2017,7951829,7
1827,New Rules,Dua Lipa,Turkey,2017,7895045,8
1828,Thunder,Imagine Dragons,Turkey,2017,7604482,9
1829,Attention,Charlie Puth,Turkey,2017,7500975,10
1830,Снова я напиваюсь,SLAVA MARLOW,Ukraine,2020,1571159,1
1831,Дежавю,kizaru,Ukraine,2020,1367976,2
1832,Blinding Lights,The Weeknd,Ukraine,2020,1345652,3
1833,Cadillac,"MORGENSHTERN, Eldzhey",Ukraine,2020,1099685,4
1834,Окей,Tima Belorusskih,Ukraine,2020,1049632,5
1835,По Глазам,SLAVA MARLOW,Ukraine,2020,1025606,6
1836,Поболело и прошло,HENSY,Ukraine,2020,1005341,7
1837,Fendi,Rakhim,Ukraine,2020,951601,8
1838,X.O,"The Limba, Andro",Ukraine,2020,928561,9
1839,El Problema - prod. SLAVA MARLOW,"MORGENSHTERN, Timati",Ukraine,2020,927938,10
1840,MONTERO (Call Me By Your Name),Lil Nas X,Bulgaria,2021,1417703,1
1841,Astronaut In The Ocean,Masked Wolf,Bulgaria,2021,1254419,2
1842,Beggin',Måneskin,Bulgaria,2021,958818,3
1843,I WANNA BE YOUR SLAVE,Måneskin,Bulgaria,2021,895651,4
1844,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Bulgaria,2021,876972,5
1845,Levitating (feat. DaBaby),Dua Lipa,Bulgaria,2021,839088,6
1846,Bad Habits,Ed Sheeran,Bulgaria,2021,795034,7
1847,ZITTI E BUONI,Måneskin,Bulgaria,2021,790597,8
1848,STAY (with Justin Bieber),The Kid LAROI,Bulgaria,2021,739793,9
1849,good 4 u,Olivia Rodrigo,Bulgaria,2021,734111,10
1850,DÁKITI,"Bad Bunny, Jhay Cortez",Chile,2021,59323117,1
1851,Yonaguni,Bad Bunny,Chile,2021,57944839,2
1852,Bandido,"Myke Towers, Juhn",Chile,2021,56808388,3
1853,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Chile,2021,54234260,4
1854,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Chile,2021,44510550,5
1855,Todo De Ti,Rauw Alejandro,Chile,2021,43657317,6
1856,Pareja Del Año,"Sebastian Yatra, Myke Towers",Chile,2021,39310898,7
1857,Hecha Pa' Mi,Boza,Chile,2021,38705755,8
1858,Qué Más Pues?,"J Balvin, Maria Becerra",Chile,2021,38028525,9
1859,Pepas,Farruko,Chile,2021,35602358,10
1860,Au DD,PNL,France,2019,58575046,1
1861,Maman ne le sait pas (feat. Niska),Ninho,France,2019,50359420,2
1862,Goutte d'eau,Ninho,France,2019,50287668,3
1863,Médicament,"Niska, Booba",France,2019,47575321,4
1864,La vie qu'on mène,Ninho,France,2019,44549917,5
1865,Elle est bonne sa mère,"Vegedream, Ninho",France,2019,42044098,6
1866,Khapta,"Heuss L'enfoiré, Sofiane",France,2019,41946384,7
1867,Balance ton quoi,Angèle,France,2019,41021401,8
1868,Trop beau,Lomepal,France,2019,37998766,9
1869,POPOPOP,Gambi,France,2019,37081100,10
1870,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Germany,2021,70973584,1
1871,Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS",Germany,2021,69997320,2
1872,STAY (with Justin Bieber),The Kid LAROI,Germany,2021,67871321,3
1873,Madonna,"Bausa, Apache 207",Germany,2021,66437828,4
1874,The Business,Tiësto,Germany,2021,62965528,5
1875,Sommergewitter,Pashanim,Germany,2021,61035630,6
1876,Heat Waves,Glass Animals,Germany,2021,60940487,7
1877,Astronaut In The Ocean,Masked Wolf,Germany,2021,60938489,8
1878,MONTERO (Call Me By Your Name),Lil Nas X,Germany,2021,60754143,9
1879,good 4 u,Olivia Rodrigo,Germany,2021,59613665,10
1880,God's Plan,Drake,Global,2018,1126032450,1
1881,SAD!,XXXTENTACION,Global,2018,764070077,2
1882,Psycho (feat. Ty Dolla $ign),Post Malone,Global,2018,702318729,3
1883,In My Feelings,Drake,Global,2018,702111864,4
1884,Better Now,Post Malone,Global,2018,686038136,5
1885,I Like It,"Cardi B, Bad Bunny, J Balvin",Global,2018,674210840,6
1886,One Kiss (with Dua Lipa),Calvin Harris,Global,2018,657920190,7
1887,IDGAF,Dua Lipa,Global,2018,617221492,8
1888,Lucid Dreams,Juice WRLD,Global,2018,603735432,9
1889,FRIENDS,"Marshmello, Anne-Marie",Global,2018,597890782,10
1890,Shape of You,Ed Sheeran,Ireland,2017,11338765,1
1891,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Ireland,2017,8101380,2
1892,Castle on the Hill,Ed Sheeran,Ireland,2017,7146978,3
1893,Unforgettable,"French Montana, Swae Lee",Ireland,2017,6481865,4
1894,New Rules,Dua Lipa,Ireland,2017,6314446,5
1895,Galway Girl,Ed Sheeran,Ireland,2017,6092646,6
1896,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",Ireland,2017,5808949,7
1897,Symphony (feat. Zara Larsson),Clean Bandit,Ireland,2017,5686229,8
1898,Solo Dance,Martin Jensen,Ireland,2017,5505108,9
1899,It Ain't Me (with Selena Gomez),Kygo,Ireland,2017,5304335,10
1900,Never Go Back,Dennis Lloyd,Israel,2019,2871749,1
1901,Señorita,"Shawn Mendes, Camila Cabello",Israel,2019,2811928,2
1902,אין יותר מועדונים,Eden Hason,Israel,2019,2766943,3
1903,ממה את מפחדת,"Eyal Golan, Benaia Barabi",Israel,2019,2758291,4
1904,כפיות,Eden Hason,Israel,2019,2695300,5
1905,7 rings,Ariana Grande,Israel,2019,2592541,6
1906,bad guy,Billie Eilish,Israel,2019,2557185,7
1907,מסע,Eliad,Israel,2019,2510221,8
1908,Soldi,Mahmood,Israel,2019,2445027,9
1909,קירות,Itay Levi,Israel,2019,2433227,10
1910,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,Italy,2018,58672885,1
1911,Cupido (feat. Quavo),Sfera Ebbasta,Italy,2018,54774023,2
1912,Davide (feat. Coez),Gemitaiz,Italy,2018,48217061,3
1913,Nera,Irama,Italy,2018,45153894,4
1914,Rockstar,Sfera Ebbasta,Italy,2018,44492444,5
1915,Sciroppo (feat. DrefGold),Sfera Ebbasta,Italy,2018,43098541,6
1916,Malibu,Vegas Jones,Italy,2018,43023097,7
1917,Amore e Capoeira,"Takagi & Ketra, Giusy Ferreri, Sean Kingston",Italy,2018,42723649,8
1918,Peace & Love,"Charlie Charles, Sfera Ebbasta, Ghali",Italy,2018,41034427,9
1919,Italiana,"J-AX, Fedez",Italy,2018,40936793,10
1920,打上花火,"DAOKO, Kenshi Yonezu",Japan,2018,8375579,1
1921,Shape of You,Ed Sheeran,Japan,2018,7950883,2
1922,愛をこめて花束を,Superfly,Japan,2018,6326277,3
1923,Wherever you are,ONE OK ROCK,Japan,2018,6180658,4
1924,Change,ONE OK ROCK,Japan,2018,6077262,5
1925,My Boo,Shota Shimizu,Japan,2018,5970898,6
1926,恋音と雨空,AAA,Japan,2018,5937593,7
1927,ワタリドリ,[Alexandros],Japan,2018,5869451,8
1928,小さな恋のうた,MONGOL800,Japan,2018,5822771,9
1929,愛唄,GReeeeN,Japan,2018,5652136,10
1930,Dance Monkey,Tones And I,Luxembourg,2019,95260,1
1931,Circles,Post Malone,Luxembourg,2019,52166,2
1932,Señorita,"Shawn Mendes, Camila Cabello",Luxembourg,2019,46837,3
1933,Memories,Maroon 5,Luxembourg,2019,46215,4
1934,HIGHEST IN THE ROOM,Travis Scott,Luxembourg,2019,43789,5
1935,Someone You Loved,Lewis Capaldi,Luxembourg,2019,38203,6
1936,Ride It,Regard,Luxembourg,2019,34953,7
1937,Beautiful People (feat. Khalid),Ed Sheeran,Luxembourg,2019,33190,8
1938,Roller,Apache 207,Luxembourg,2019,30739,9
1939,Lose You To Love Me,Selena Gomez,Luxembourg,2019,30253,10
1940,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",Morocco,2020,2165164,1
1941,Fratello,"Tagne, Stormy, Khtek",Morocco,2020,1750315,2
1942,Africain,Stormy,Morocco,2020,1721135,3
1943,Lalala,Snor,Morocco,2020,1379247,4
1944,De9a De9a,Snor,Morocco,2020,1261284,5
1945,حس بيا,L7or,Morocco,2020,1235834,6
1946,L'baida mon amour,7ari,Morocco,2020,1224743,7
1947,Hors Série - RapRapRapRap,"ElGrandeToto, Draganov, Don Bigg, Khtek",Morocco,2020,1224634,8
1948,Lmeryoula,"Don Bigg, Ihab Amir",Morocco,2020,1139718,9
1949,Ça fait des années,"Soolking, Cheb Mami",Morocco,2020,1125099,10
1950,Hij Is Van Mij (feat. Bizzey),"Kris Kross Amsterdam, Maan, Tabitha",Netherlands,2019,52503609,1
1951,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",Netherlands,2019,44771513,2
1952,Señorita,"Shawn Mendes, Camila Cabello",Netherlands,2019,39025222,3
1953,Someone You Loved,Lewis Capaldi,Netherlands,2019,38438308,4
1954,Duurt Te Lang,Davina Michelle,Netherlands,2019,38429128,5
1955,I Don't Care (with Justin Bieber),Ed Sheeran,Netherlands,2019,37620008,6
1956,Dance Monkey,Tones And I,Netherlands,2019,36529329,7
1957,Don't Call Me Up,Mabel,Netherlands,2019,36255789,8
1958,Arcade,Duncan Laurence,Netherlands,2019,36222605,9
1959,Reünie,Snelle,Netherlands,2019,34896029,10
1960,Blinding Lights,The Weeknd,New Zealand,2020,11037276,1
1961,Roses - Imanbek Remix,SAINt JHN,New Zealand,2020,9067480,2
1962,Don't Start Now,Dua Lipa,New Zealand,2020,8339700,3
1963,Dance Monkey,Tones And I,New Zealand,2020,8298220,4
1964,The Box,Roddy Ricch,New Zealand,2020,8184921,5
1965,ROCKSTAR (feat. Roddy Ricch),DaBaby,New Zealand,2020,8138114,6
1966,Catching Feelings (feat. SIX60),Drax Project,New Zealand,2020,8100266,7
1967,Watermelon Sugar,Harry Styles,New Zealand,2020,7976518,8
1968,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",New Zealand,2020,7966986,9
1969,Glitter,BENEE,New Zealand,2020,7966578,10
1970,Shape of You,Ed Sheeran,Philippines,2017,57245668,1
1971,Say You Won't Let Go,James Arthur,Philippines,2017,47481000,2
1972,Versace on the Floor,Bruno Mars,Philippines,2017,43845108,3
1973,That's What I Like,Bruno Mars,Philippines,2017,41557904,4
1974,Something Just Like This,"The Chainsmokers, Coldplay",Philippines,2017,38343683,5
1975,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Philippines,2017,34257558,6
1976,Perfect,Ed Sheeran,Philippines,2017,34142751,7
1977,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,Philippines,2017,31070818,8
1978,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Philippines,2017,28258741,9
1979,Dahil Sa'Yo,Inigo Pascual,Philippines,2017,27733673,10
1980,Shape of You,Ed Sheeran,Poland,2017,16502838,1
1981,Believer,Imagine Dragons,Poland,2017,8825559,2
1982,Thunder,Imagine Dragons,Poland,2017,7408708,3
1983,Something Just Like This,"The Chainsmokers, Coldplay",Poland,2017,7116246,4
1984,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Poland,2017,6628874,5
1985,It Ain't Me (with Selena Gomez),Kygo,Poland,2017,6619758,6
1986,More Than You Know,Axwell /\ Ingrosso,Poland,2017,6592146,7
1987,Symphony (feat. Zara Larsson),Clean Bandit,Poland,2017,6068520,8
1988,Attention,Charlie Puth,Poland,2017,6007748,9
1989,There's Nothing Holdin' Me Back,Shawn Mendes,Poland,2017,5784023,10
1990,Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway",Poland,2018,16162912,1
1991,Małomiasteczkowy,Dawid Podsiadło,Poland,2018,12755549,2
1992,Początek,"Męskie Granie Orkiestra 2018, Kortez, Dawid Podsiadło, Krzysztof Zalewski",Poland,2018,11394481,3
1993,In My Mind,"Dynoro, Gigi D'Agostino",Poland,2018,9718939,4
1994,One Kiss (with Dua Lipa),Calvin Harris,Poland,2018,9423096,5
1995,Nevermind,Dennis Lloyd,Poland,2018,9081718,6
1996,Youngblood,5 Seconds of Summer,Poland,2018,8315112,7
1997,Solo (feat. Demi Lovato),Clean Bandit,Poland,2018,8262874,8
1998,IDGAF,Dua Lipa,Poland,2018,8178481,9
1999,Feel It Still,Portugal. The Man,Poland,2018,8070273,10
2000,Дежавю,kizaru,Russia,2021,11805573,1
2001,Патрон,Miyagi & Andy Panda,Russia,2021,11386360,2
2002,Нету интереса,10AGE,Russia,2021,11124780,3
2003,I WANNA BE YOUR SLAVE,Måneskin,Russia,2021,10948832,4
2004,MONTERO (Call Me By Your Name),Lil Nas X,Russia,2021,10877551,5
2005,Кукла колдуна,Korol i Shut,Russia,2021,10656435,6
2006,Мальчик на девятке,DEAD BLONDE,Russia,2021,10481247,7
2007,Cristal & МОЁТ,MORGENSHTERN,Russia,2021,10465062,8
2008,Голодный пёс [prod. by Pretty Scream],"SEEMEE, SODA LUV",Russia,2021,10354544,9
2009,Я в моменте,"Dzharakhov, Markul",Russia,2021,10249766,10
2010,drivers license,Olivia Rodrigo,Singapore,2021,10115495,1
2011,STAY (with Justin Bieber),The Kid LAROI,Singapore,2021,9494619,2
2012,At My Worst,Pink Sweat$,Singapore,2021,8302612,3
2013,Heartbreak Anniversary,Giveon,Singapore,2021,7304885,4
2014,Kiss Me More (feat. SZA),Doja Cat,Singapore,2021,7214485,5
2015,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Singapore,2021,7205406,6
2016,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Singapore,2021,7030347,7
2017,good 4 u,Olivia Rodrigo,Singapore,2021,6585678,8
2018,Levitating (feat. DaBaby),Dua Lipa,Singapore,2021,6425171,9
2019,飞鸟和蝉,Ren Ran,Singapore,2021,6286374,10
2020,good 4 u,Olivia Rodrigo,United Kingdom,2021,91271442,1
2021,drivers license,Olivia Rodrigo,United Kingdom,2021,81402221,2
2022,Bad Habits,Ed Sheeran,United Kingdom,2021,71270835,3
2023,MONTERO (Call Me By Your Name),Lil Nas X,United Kingdom,2021,67284520,4
2024,Heat Waves,Glass Animals,United Kingdom,2021,63930600,5
2025,STAY (with Justin Bieber),The Kid LAROI,United Kingdom,2021,60945086,6
2026,Kiss Me More (feat. SZA),Doja Cat,United Kingdom,2021,57717173,7
2027,Levitating (feat. DaBaby),Dua Lipa,United Kingdom,2021,53045075,8
2028,Head & Heart (feat. MNEK),Joel Corry,United Kingdom,2021,47964197,9
2029,Blinding Lights,The Weeknd,United Kingdom,2021,46545392,10
2030,HUMBLE.,Kendrick Lamar,United States,2017,334342280,1
2031,Congratulations,"Post Malone, Quavo",United States,2017,280284916,2
2032,Shape of You,Ed Sheeran,United States,2017,278916058,3
2033,Mask Off,Future,United States,2017,239307360,4
2034,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",United States,2017,232299068,5
2035,rockstar,"Post Malone, 21 Savage",United States,2017,225517132,6
2036,iSpy (feat. Lil Yachty),KYLE,United States,2017,224773101,7
2037,Location,Khalid,United States,2017,222266305,8
2038,1-800-273-8255,"Logic, Alessia Cara, Khalid",United States,2017,216950629,9
