,title,artist,date,n
2057,Pettävällä Jäällä - Vain Elämää Kausi 6,Nikke Ankara,2017-04,8
2058,Emotions,Ufo361,2020-04,8
2059,Happy Days,Ghali,2017-05,8
2060,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017-06,8
2061,Rica (feat. Kesi & Sivas),Gilli,2017-06,8
2062,Here With You,"Lost Frequencies, Netsky",2017-07,8
2063,Svag,Victor Leksell,2020-08,8
2064,Bande organisée,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",2020-10,8
2065,BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",2020-07,8
2066,Reckless,Madison Beer,2021-07,8
2067,Fuckst mich nur ab,Bonez MC,2020-09,8
2068,Tú Me Dejaste De Querer,"C. Tangana, Niño de Elche, La Húngara",2020-11,8
2069,"""想見你想見你想見你(電視劇""""想見你""""片尾曲)""",831,2020-07,8
2070,34+35,Ariana Grande,2021-01,8
2071,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,2020-09,8
2072,Svag,Victor Leksell,2020-07,8
2073,Paradise (feat. Dermot Kennedy),MEDUZA,2021-01,8
2074,ZORO,"AlbertNbn, Nane",2021-01,8
2075,地球上最浪漫的一首歌,Alien Huang,2020-09,8
2076,7,"Ufo361, Bonez MC",2021-01,8
2077,Snowman,Sia,2020-12,8
2078,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",2020-10,8
2079,Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,2020-08,8
2080,Bước Qua Mùa Cô Đơn,Vũ.,2020-12,8
2081,Demasiadas Mujeres,C. Tangana,2020-10,8
2082,Melukis Senja,Budi Doremi,2020-10,8
2083,Lmeryoula,"Don Bigg, Ihab Amir",2020-07,8
2084,Devam (feat. Luciano & Ezhel),Gentleman,2020-09,8
2085,WATAFUK?!,"MORGENSHTERN, Lil Pump",2020-11,8
2086,是但求其愛,Eason Chan,2020-11,8
2087,alibababigbass,Gleb,2021-03,8
2088,Frag mich nicht,"Miksu / Macloud, Nimo, Jamule",2021-04,8
2089,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",2020-12,8
2090,Bassi Maraj,Bassi Maraj,2021-03,8
2091,Jeg glemmer deg aldri - fra Rådebank,Emma Steinbakken,2021-02,8
2092,Extasy,"187 Strassenbande, Bonez MC, Frauenarzt",2021-05,8
2093,Davay,"Rack, Ortiz",2021-02,8
2094,Fiołkowe Pole,"Sobel, Piotrek Lewandowski",2021-06,8
2095,Krvn,UZI,2021-04,8
2096,Sommergewitter,Pashanim,2021-06,8
2097,Réseaux,Niska,2017-10,8
2098,Älä jätä roikkuu,JVG,2017-09,8
2099,טרילילי טרללה,"Noa Kirel, Ilan Peled",2021-06,8
2100,Blaues Licht,"RAF Camora, Bonez MC",2021-08,8
2101,Heat Waves,Glass Animals,2021-11,8
2102,Arranhão - Ao Vivo,Henrique & Juliano,2021-10,8
2103,Ibiza,Bilal Wahib,2021-10,8
2104,MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta",2021-09,8
2105,A La Antigüita,Calibre 50,2021-10,8
2106,paris freestyle - skrilla remix,Pashanim,2021-11,8
2107,Enkelit,Cheek,2017-11,8
2108,De l'autre côté (feat. Nekfeu),Ninho,2017-09,8
2109,"Stilen Lagt (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,2017-12,8
2110,Vervloekt,"Frenna, Diquenza",2017-10,8
2111,A La Antigüita,Calibre 50,2021-09,8
2112,Ludvig Daae,"Helene Olafsen, Norges Nye Megahit",2021-11,8
2113,Loi de la calle,"Le classico organisé, Jul, Alonzo, Lacrim, Mister You, Niro, Kofs, Le Rat Luciano, DA Uzi",2021-10,8
2114,L'odeur de l'essence,Orelsan,2021-11,8
2115,Di Di Di,CompincheMusic,2021-10,8
2116,Remind Me to Forget,"Kygo, Miguel",2018-04,7
2117,Liikaa Sussa Kii,"Mikael Gabriel, Isac Elliot",2017-02,7
2118,Genda Phool (feat. Payal Dev),Badshah,2020-05,7
2119,Cruel Summer,"DJ Stephan, Mad Clip, iLLEOo",2020-05,7
2120,Sofiane,Boef,2018-04,7
2121,Désaccordé,Vald,2018-03,7
2122,Flary,PRO8L3M,2018-03,7
2123,Art-B,"TACONAFIDE, Quebonafide, Taco Hemingway",2018-03,7
2124,Change,ONE OK ROCK,2018-02,7
2125,Nevermind,Dennis Lloyd,2018-06,7
2126,さよならエレジー,Masaki Suda,2018-03,7
2127,Satutat mua,TIPPA,2018-03,7
2128,Ao Vivo E A Cores,"Matheus & Kauan, Anitta",2018-05,7
2129,Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01,7
2130,Í Átt Að Tunglinu,"JóiPé, Króli",2018-04,7
2131,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,2018-10,7
2132,Verleden Tijd,"Frenna, Lil Kleine",2018-10,7
2133,Vielä Kerran,Evelina,2018-07,7
2134,XTC,"Lukas Leon, Cheek, Etta",2018-06,7
2135,Air Max,"Rim'K, Ninho",2018-09,7
2136,Bu Benim Öyküm,"Eli Türkoğlu, Tuğçe Kandemir",2018-04,7
2137,Mina Ka,"nublu, Reket",2018-08,7
2138,Nooit Thuis,"Boef, Ashafar",2020-06,7
2139,Tout oublier,"Angèle, Roméo Elvis",2019-01,7
2140,Happy Now,"Zedd, Elley Duhé",2018-08,7
2141,3 2 1,Ben Fero,2018-12,7
2142,BUDE LÍP,"Milion Plus, Nik Tendo, Hasan, Kamil Hoffmann",2018-12,7
2143,Torna a casa,Måneskin,2018-11,7
2144,Mina Ka,"nublu, Reket",2018-06,7
2145,Don’t Matter To Me,"Drake, Michael Jackson",2018-06,7
2146,Mediterranea,Irama,2020-05,7
2147,Solo de Mi,Bad Bunny,2019-01,7
2148,Auf wiedersehen,Hov1,2018-08,7
2149,Caramelo,Ozuna,2020-06,7
2150,1-2,nublu,2020-06,7
2151,Culpables,"KAROL G, Anuel AA",2018-09,7
2152,Sana,I Belong to the Zoo,2019-01,7
2153,90MIN,Salmo,2018-09,7
2154,Culpables,Manuel Turizo,2018-08,7
2155,เป็นไรไหม?,"OG-ANIC, Lazyloxy",2018-09,7
2156,Gib Ihm,Shirin David,2019-03,7
2157,Hij Is Van Mij (feat. Bizzey),"Kris Kross Amsterdam, Maan, Tabitha",2019-03,7
2158,Ikuinen vappu,JVG,2019-05,7
2159,DNA,"KC Rebell, Summer Cem, Capital Bra",2019-03,7
2160,Terremoto,"Anitta, MC Kevinho",2019-02,7
2161,Never Go Back,Dennis Lloyd,2019-04,7
2162,Allang Al Niet Meer,Boef,2019-04,7
2163,È sempre bello,Coez,2019-01,7
2164,Falskar ástir,Floni,2019-02,7
2165,Hold Me While You Wait,Lewis Capaldi,2019-05,7
2166,"thank u, next",Ariana Grande,2019-02,7
2167,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2019-05,7
2168,PGP,Booba,2019-01,7
2169,Waktu Yang Salah (feat. Thantri),Fiersa Besari,2019-03,7
2170,Séra Sveinki,Séra Bjössi,2018-12,7
2171,Hatrið mun sigra,Hatari,2019-03,7
2172,Devia Ir,Wet Bed Gang,2018-12,7
2173,Hãy Trao Cho Anh,"Sơn Tùng M-TP, Snoop Dogg",2019-07,7
2174,Per Un Milione,Boomdabash,2019-04,7
2175,EARFQUAKE,"Tyler, The Creator",2019-05,7
2176,Veleno 7,"Gemitaiz, MadMan",2019-06,7
2177,SAS PLUS / SAS PUSSY,Karpe,2019-02,7
2178,La Cobra,j mena,2019-05,7
2179,Bola Rebola,"Tropkillaz, J Balvin, Anitta, Mc Zaac",2019-02,7
2180,PIPPI,Dree Low,2019-10,7
2181,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,2019-11,7
2182,Da Ili Ne,Krisko,2019-06,7
2183,Goodbyes (Feat. Young Thug),Post Malone,2019-07,7
2184,Tout oublier,"Angèle, Roméo Elvis",2018-12,7
2185,Aluspükse,"5MIINUST, nublu",2019-08,7
2186,Allt það sem ég var,Aron Can,2019-07,7
2187,Méchant,"Niska, Ninho",2019-09,7
2188,Arkadaş,Ben Fero,2019-11,7
2189,Język ciała,"Tymek, Big Scythe",2019-03,7
2190,1998 (mam to we krwi),"Bedoes, Lanek",2019-11,7
2191,"Babor (with Shayfeen, Hornet La Frappe)",Naar,2019-09,7
2192,Jesteś ładniejsza niż na zdjęciach (na zawsze),"Bedoes, Lanek",2019-11,7
2193,Coronao Now,"El Alfa, Lil Pump",2019-11,7
2194,Pantha,Dappy,2019-09,7
2195,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,2019-10,7
2196,Paaristõuked,"5MIINUST, Villemdrillem",2020-02,7
2197,Fuck the World,Pyhimys,2020-01,7
2198,Alocao (With Bad Gyal),Omar Montes,2019-10,7
2199,Pretender,Official HIGE DANdism,2020-03,7
2200,Przebój nocy,"PRO8L3M, Wanda i Banda",2020-03,7
2201,6.3,"Naps, Ninho",2020-03,7
2202,Leila,Reynmen,2020-02,7
2203,"""Pachtaoge (From """"Jaani Ve"""")""","Arijit Singh, B Praak",2019-08,7
2204,Vùng Ký Ức,Chillies,2020-04,7
2205,Wieso tust Du dir das an?,Apache 207,2019-10,7
2206,Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,2019-10,7
2207,แอบดี (How to live without you),Stamp,2019-10,7
2208,AYA,"Murda, Ezhel",2019-12,7
2209,Mikasa,ElGrandeToto,2020-03,7
2210,Lối Nhỏ,"Đen, Phương Anh Đào",2020-01,7
2211,El Farsante,DJ Jonathan,2017-08,7
2212,TOKYO2020,"Quebonafide, Taco Hemingway",2020-04,7
2213,Sweet Night,V,2020-03,7
2214,Boogieman (feat. Salmo),Ghali,2020-02,7
2215,ฝนตกไหม,Three Man Down,2020-01,7
2216,Catriona,Matthaios,2019-12,7
2217,SPORT,"TopGunn, Branco",2020-04,7
2218,Blinding Lights,The Weeknd,2019-12,7
2219,The Box,Roddy Ricch,2019-12,7
2220,6.3,"Naps, Ninho",2020-02,7
2221,Bad Liar,Selena Gomez,2017-05,7
2222,Fazer Falta,Mc Livinho,2017-07,7
2223,E先生 連環不幸事件,Edan 呂爵安,2021-07,7
2224,Devam (feat. Luciano & Ezhel),Gentleman,2020-10,7
2225,Doug Demuro,Ego,2020-07,7
2226,Tilidin Weg,Bonez MC,2020-08,7
2227,Samma gamla vanliga,A36,2021-07,7
2228,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan",2021-07,7
2229,Malá Biš,Nik Tendo,2021-01,7
2230,TOA$T /,"Bedoes, Lanek",2021-01,7
2231,positions,Ariana Grande,2021-01,7
2232,Дежавю,kizaru,2020-08,7
2233,أجمل غرامي,Abdullah Al Farwan,2020-11,7
2234,Baby (with J Balvin),Sfera Ebbasta,2021-01,7
2235,По Глазам,SLAVA MARLOW,2020-11,7
2236,Långt bort härifrån,Hov1,2020-11,7
2237,Fever,"Dua Lipa, Angèle",2020-12,7
2238,FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,2020-09,7
2239,ULALA,"Żabson, Young Leosia, Beteo, Borucci",2020-10,7
2240,Flickorna i Båstad,Hov1,2021-07,7
2241,Paubaya,Moira Dela Torre,2020-10,7
2242,Bel Bont El3areedh,Hussain Aljassmi,2020-08,7
2243,Nimet,"Didomido, Eglo G",2020-07,7
2244,Hlavy na hlavy,"Robin Zoot, Nik Tendo, Vercetti CG, Shaka CG, Forest Blunt",2021-01,7
2245,一人之境 in C major,Terence Lam,2021-05,7
2246,شيل البيض,Barry,2020-11,7
2247,No Evil,"Branco, Lukas Graham",2021-02,7
2248,一人之境 in C major,Terence Lam,2021-03,7
2249,Your Power,Billie Eilish,2021-05,7
2250,Långsamt farväl,Benjamin Ingrosso,2020-10,7
2251,"На чиле (feat. Егор Крид, The Limba, blago white, OG Buda, Тимати, SODA LUV, Гуф)","Geegun, Egor Kreed, Timati",2021-07,7
2252,7ali Ya 7ali,Inkonnu,2021-01,7
2253,Leere Hände (feat. Sido & Samra),SANTOS,2021-04,7
2254,To the Bone,Pamungkas,2021-06,7
2255,Dark Side,Blind Channel,2021-02,7
2256,ALOHA!,ElGrandeToto,2021-03,7
2257,Mannschaft (feat. Freeze Corleone),SCH,2021-03,7
2258,Fever,"Dua Lipa, Angèle",2021-02,7
2259,Tapão Na Raba,Raí Saia Rodada,2021-02,7
2260,Blijven Slapen,"Snelle, Maan",2021-04,7
2261,Liege wieder wach,Jamule,2021-04,7
2262,AM,"Nio Garcia, Flow La Movie",2021-04,7
2263,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",2021-02,7
2264,Fallen Angel,TIX,2021-02,7
2265,Alles Wat Ik Mis,"Ronnie Flex, Emma Heesters, Kris Kross Amsterdam",2021-05,7
2266,Den fineste Chevy'n (feat. Maria Mena),Halva Priset,2021-04,7
2267,Trốn Tìm,"Đen, MTV band",2021-05,7
2268,Msh Bel 7ozoz - مش بالحظوظ,Afroto,2021-05,7
2269,Ég Vil Það,"Chase Anthony, JóiPé",2017-09,7
2270,Mon Amour - Remix,"zzoilo, Aitana",2021-10,7
2271,Le classico organisé,"Le classico organisé, Koba LaD, Jul, PLK, SCH, Gazo, Soso Maness, Kofs, Guy2bezbar, Naps",2021-11,7
2272,Om Satori,Wawi,2021-10,7
2273,Räkna dagar,Hov1,2021-10,7
2274,Is That for Me,"Alesso, Anitta",2017-10,7
2275,My Apple Pie,Edan 呂爵安,2021-10,7
2276,ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2021-10,7
2277,I Fall Apart,Post Malone,2017-11,7
2278,Volví,"Aventura, Bad Bunny",2021-10,7
2279,Giovane Fuoriclasse,"Capo Plaza, AVA",2017-10,7
2280,Guapa,RAF Camora,2021-10,7
2281,Complicated (feat. Kiiara),"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas",2017-09,7
2282,PERDONAMI,Salmo,2017-11,7
2283,عرفة,Lege-Cy,2021-09,7
2284,Easy On Me,Adele,2021-12,7
2285,La Modelo,Lean Trap,2018-01,7
2286,CINDY,UZI,2021-09,7
2287,Dura,Daddy Yankee,2018-01,7
2288,Favorito,Camilo,2020-06,6
2289,銀河修理員,Dear Jane,2020-06,6
2290,Ipséité,Damso,2018-05,6
2291,Tættere End Vi Tror,"P3, Tessa, Christopher, Lukas Graham, Jada, Benjamin Hav, Clara, Don Stefano, Mads Langer",2020-05,6
2292,Solita,"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty",2018-02,6
2293,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",2017-01,6
2294,Shuffla,Samir & Viktor,2018-03,6
2295,Intentions (feat. Quavo),Justin Bieber,2020-05,6
2296,Dúfan mín,"Logi Pedro, Birnir",2018-02,6
2297,體面(電影《前任3:再見前任》插曲),Kelly Yu,2018-04,6
2298,Hey Meisje,"Esko, Josylvio, Hansie",2018-05,6
2299,Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-02,6
2300,Back To You,Selena Gomez,2018-06,6
2301,Amor Falso,Aldair Playboy,2018-05,6
2302,Flames,"David Guetta, Sia",2018-04,6
2303,Þráhyggja,"JóiPé, Króli",2018-04,6
2304,Estamos Bien,Don Khuma,2018-08,6
2305,Só Você,"DENNIS, MC G15",2018-09,6
2306,Naarmuja (feat. IBE),Benjamin,2018-08,6
2307,Roska silmäs,"TIPPA, JVG",2018-07,6
2308,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,2018-08,6
2309,打上花火,"DAOKO, Kenshi Yonezu",2018-09,6
2310,Mojito,Jay Chou,2020-06,6
2311,Su Casa,"KESI, Gilli",2018-09,6
2312,Djadja,Aya Nakamura,2018-09,6
2313,Agria Thalassa,Giorgos Sabanis,2020-06,6
2314,Medicina,Anitta,2018-07,6
2315,Jaloux,Dadju,2018-11,6
2316,Love Someone,Lukas Graham,2018-11,6
2317,từ chối nhẹ nhàng thôi,"Bich Phuong, Phuc Du",2020-06,6
2318,öölaps!,nublu,2018-10,6
2319,XXL,"Miksu / Macloud, Summer Cem, Luciano, Jamule",2020-06,6
2320,Jangan,"Marion Jola, Rayi Putra",2018-09,6
2321,Happier,"Marshmello, Bastille",2018-11,6
2322,ลาลาลอย (100%),The Toys,2019-01,6
2323,Gang În Sus,"Nane, Oscar, Super Ed",2020-06,6
2324,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018-10,6
2325,Duurt Te Lang,Davina Michelle,2019-01,6
2326,High Hopes,Panic! At The Disco,2019-01,6
2327,Binks to Binks 6,Ninho,2019-01,6
2328,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",2019-02,6
2329,Someone You Loved,Lewis Capaldi,2019-04,6
2330,今夜このまま,Aimyon,2019-02,6
2331,יאסו,"Static & Ben El, Eden Ben Zaken, Stephane Legar",2019-01,6
2332,MIDDLE CHILD,J. Cole,2019-01,6
2333,TVTB (feat. Dark Polo Gang),Fedez,2019-01,6
2334,Kahit Ayaw Mo Na,This Band,2019-01,6
2335,Boy With Luv (feat. Halsey),BTS,2019-06,6
2336,มีแค่เรา,"F.HERO, Lazyloxy, OG-ANIC",2019-02,6
2337,Gladen,Itzo Hazarta,2019-06,6
2338,Dream Glow (BTS World Original Soundtrack) - Pt. 1,"BTS, Charli XCX",2019-06,6
2339,48H (feat. Sfera Ebbasta),Izi,2019-05,6
2340,Nasılsın Aşkta?,Aleyna Tilki,2019-06,6
2341,Derdim Olsun,Reynmen,2019-01,6
2342,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",2019-08,6
2343,It's You,Ali Gatie,2019-06,6
2344,BDK (feat. Gilli),KESI,2019-09,6
2345,Zebbiana,Skusta Clee,2019-10,6
2346,Adicto (with Anuel AA & Ozuna),Tainy,2019-11,6
2347,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-11,6
2348,GUAP (feat. Dopebwoy),Boef,2019-06,6
2349,MVP Freestyle,Light,2019-08,6
2350,Toy Story,"Bedoes, Kubi Producent, Rafonix",2018-11,6
2351,quando a bad bater - ao vivo,Luan Santana,2019-10,6
2352,Ela,Reynmen,2019-07,6
2353,Neptun,"KC Rebell, RAF Camora",2019-07,6
2354,BIG MAN,SNIK,2020-01,6
2355,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",2019-07,6
2356,Fusk,"Einár, K27",2019-03,6
2357,"Nicki Nicole: Bzrp Music Sessions, Vol. 13","Bizarrap, Nicki Nicole",2019-08,6
2358,Fuori E Dentro (feat. tha Supreme),"Gemitaiz, MadMan",2019-09,6
2359,Combatchy (feat. MC Rebecca),"Anitta, Lexa, Luísa Sonza",2019-11,6
2360,La Bella Mafia,Wet Bed Gang,2020-03,6
2361,Benjamins 3,"Rozz Kalliope, Ece Seçkin",2019-12,6
2362,100 dni do matury,Mata,2020-02,6
2363,Make It With You,Ben&Ben,2020-02,6
2364,Girl,Myke Towers,2020-02,6
2365,Roller,Apache 207,2019-08,6
2366,Don't Start Now,Dua Lipa,2020-04,6
2367,7elmet Ado 4,ElGrandeToto,2020-01,6
2368,את חסרה לי,Eden Hason,2020-03,6
2369,Presidente,Mad Clip,2020-04,6
2370,Eikö Sua Hävetä,Tuure Boelius,2017-08,6
2371,ลงใจ,BOWKYLION,2020-03,6
2372,Ne reviens pas,"Gradur, Heuss L'enfoiré",2019-11,6
2373,Pura Pura Lupa,Mahen,2020-03,6
2374,Der Bratan bleibt der gleiche,Capital Bra,2019-11,6
2375,Una Lady Como Tú,Manuel Turizo,2017-06,6
2376,HUMBLE.,Kendrick Lamar,2017-06,6
2377,Auto Blu,"Shiva, Eiffel 65",2020-03,6
2378,Lamborghini,"Guè Pequeno, Sfera Ebbasta",2017-07,6
2379,Caramelle (feat. Peachwalnut),Dark Polo Gang,2017-05,6
2380,Напрао ги убивам (feat. 100 Kila),Gery-Nikol,2017-07,6
2381,FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,2020-10,6
2382,Bläulich,Apache 207,2020-08,6
2383,Bosses,"SNIK, Light, Mad Clip",2020-08,6
2384,Hecha Pa' Mi,Boza,2020-08,6
2385,وناسه,DJ-MK,2020-10,6
2386,El Problema - prod. SLAVA MARLOW,"MORGENSHTERN, Timati",2020-10,6
2387,cardigan,Taylor Swift,2020-08,6
2388,Therefore I Am,Billie Eilish,2020-12,6
2389,Treenaa,Antti Tuisku,2021-01,6
2390,Not Shy,ITZY,2020-08,6
2391,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",2020-11,6
2392,Zukunft,RAF Camora,2021-07,6
2393,El Melouk - الملوك,"Ahmed Saad, 3enba, Double Zuksh",2021-07,6
2394,อยากเริ่มต้นใหม่กับคนเดิม (repeat),Ink Waruntorn,2020-12,6
2395,Gặp Nhưng Không Ở Lại,"Hiền Hồ, Vuong Anh Tu",2020-12,6
2396,Я в моменте,"Dzharakhov, Markul",2021-07,6
2397,Wishing Well,Juice WRLD,2020-07,6
2398,Lewjah Tani,"Saad Lamjarred, Zouhair Bahaoui",2021-01,6
2399,Deep End,Fousheé,2020-10,6
2400,BLUEBERRY,Guzior,2021-01,6
2401,Veli mä vannon,Gettomasa,2020-12,6
2402,Scooter,"Yssi SB, Qlas & Blacka, Ashafar, ADF Samski",2020-11,6
2403,Amor ou o Litrão,"Petter Ferraz, Menor Nico",2020-12,6
2404,她沒在看我,E.SO,2020-07,6
2405,Filur (feat. Gilli),Larry 44,2020-09,6
2406,Oh Juliana,Niack,2020-07,6
2407,La Oalef La,Yousif Al Sumaidaie,2020-10,6
2408,Новая волна,"DJ Smash, MORGENSHTERN",2021-04,6
2409,tystnar i luren,"Miriam Bryant, Victor Leksell",2021-05,6
2410,Spurningar (feat. Páll Óskar),Birnir,2021-02,6
2411,BLESSED (feat. Capital Bra),Cro,2021-05,6
2412,Σ. MOROSE,Damso,2021-05,6
2413,BLUEBERRY,Guzior,2020-11,6
2414,RATPI WORLD,Booba,2021-01,6
2415,gebe auf.,Lune,2020-11,6
2416,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07,6
2417,ถ้าเธอรักฉันจริง,Three Man Down,2021-02,6
2418,Kærlighed,Gilli,2021-05,6
2419,Me ei mennä rikki,"Gasellit, Karri Koira",2021-02,6
2420,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,2021-02,6
2421,a m a r i,J. Cole,2021-05,6
2422,Frag mich nicht,"Miksu / Macloud, Nimo, Jamule",2021-03,6
2423,HAINE&SEX,Gazo,2021-04,6
2424,ليه الجفا,Abdullah Al Farwan,2021-04,6
2425,สายตาหลอกกันไม่ได้ (Eyes don't lie),Ink Waruntorn,2021-02,6
2426,gloria,5MIINUST,2021-05,6
2427,Xeimwnes,SNIK,2021-03,6
2428,Steppasin Partyy,"YB026, Nuteh Jonez",2021-03,6
2429,2/Catorce,"Rauw Alejandro, Mr. Naisgai",2021-05,6
2430,Bad Habits,Ed Sheeran,2021-06,6
2431,Omri Ana,"Stormy, Tagne",2021-06,6
2432,Your Power,Billie Eilish,2021-04,6
2433,Komið Að Því,"FM95BLÖ, Sverrir Bergmann, Jóhanna Guðrún",2021-06,6
2434,Comme Ci Comme Ça,"Basim, Gilli",2017-09,6
2435,Coração Cachorro,"Avine Vinny, Matheus Fernandes",2021-11,6
2436,Bul Beni,Ezhel,2021-08,6
2437,Keinu (Vain elämää kausi 7),Jenni Vartiainen,2017-09,6
2438,Unforgettable,"French Montana, Swae Lee",2017-09,6
2439,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",2021-11,6
2440,小諧星,Edan 呂爵安,2021-08,6
2441,ESCAPE PLAN,Travis Scott,2021-11,6
2442,VACAXIONES,Feid,2021-11,6
2443,Badman,"Mente Fuerte, HGEMONA$",2021-10,6
2444,I Hate U,SZA,2021-12,6
2445,All Falls Down (feat. Juliander),"Alan Walker, Noah Cyrus, Digital Farm Animals",2017-12,6
2446,Snjókorn falla,Laddi,2017-12,6
2447,BREATHE (Feat. MINO) (Prod. GRAY),"Anandelight, unofficialboyy, BE'O, Geegooin, Mudd the student",2021-11,6
2448,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",2021-11,6
2449,NASA,"Rack, Saske",2021-09,6
2450,"""Ranjha (From """"Shershaah"""")""","Jasleen Royal, B Praak",2021-10,6
2451,Ley Seca,"Jhay Cortez, Anuel AA",2021-09,6
2452,Súbelo,"Anuel AA, Myke Towers, Jhay Cortez",2021-11,6
2453,ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2021-09,6
2454,koptereid,5MIINUST,2021-09,6
2455,Jedna Dva,Yzomandias,2021-11,6
2456,King Kong,"Bossikan, Light",2021-11,6
2457,ONLY,LeeHi,2021-09,6
2458,MONEY,LISA,2021-09,6
2459,Она тебя любит,"SLAVA MARLOW, The Limba, Eldzhey",2021-08,6
2460,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,2018-01,6
2461,3la 3eny,Ahmed Kamel,2021-08,6
2462,V Meste Snov,Ego,2017-12,6
2463,CHANGE,E.SO,2020-05,5
2464,Angela,Hatik,2020-06,5
2465,PUSSY (feat. Lazza & Salmo),Dark Polo Gang,2020-05,5
2466,銀河修理員,Dear Jane,2020-05,5
2467,Energie,"Ronnie Flex, Frenna",2017-01,5
2468,Öyle Kolaysa,Mabel Matiz,2018-03,5
2469,04:00,The Toys,2018-02,5
2470,Holder Fast,"Hennedub, Gilli, Lukas Graham",2018-05,5
2471,M.I.L.S 2.0,Ninho,2018-04,5
2472,Échame La Culpa,"Luis Fonsi, Demi Lovato",2018-02,5
2473,Čo Odo Mňa Chcete,"Separ, Karlo, Nik Tendo, Yzomandias",2020-05,5
2474,Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway",2018-06,5
2475,Yikes,Kanye West,2018-06,5
2476,Đâu Chỉ Riêng 'em,Mỹ Tâm,2018-03,5
2477,她沒在看我,E.SO,2020-06,5
2478,"Á sama tíma, á sama stað","Friðrik Dór, Jón Jónsson",2018-06,5
2479,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel,2017-02,5
2480,Envolvimento,MC Loma e As Gêmeas Lacração,2018-02,5
2481,Maserati,RAF Camora,2018-04,5
2482,In My Blood,Shawn Mendes,2018-03,5
2483,KOD,J. Cole,2018-04,5
2484,BBoom BBoom,MOMOLAND,2018-05,5
2485,TROLLZ (with Nicki Minaj),6ix9ine,2020-06,5
2486,Teka Lang,Emman,2020-05,5
2487,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",2018-10,5
2488,STARGAZING,Travis Scott,2018-08,5
2489,PORFA,"Feid, Justin Quiles",2020-06,5
2490,Toto et Ninetta,Jul,2018-07,5
2491,Meraih Bintang,Via Vallen,2018-09,5
2492,Youngblood,5 Seconds of Summer,2018-05,5
2493,Way Back Home,SHAUN,2018-09,5
2494,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,2018-09,5
2495,Oui,"Sivas, NODE, Gilli",2018-07,5
2496,TELÉFONO,Aitana,2018-07,5
2497,Snik Snak,Gilli,2020-06,5
2498,Young & Heartless,Yasin,2020-05,5
2499,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",2020-06,5
2500,Yhen elämän juttu,ABREU,2018-07,5
2501,Mulkut - Vain Elämää Kausi 9,Pyhimys,2018-09,5
2502,Allein,Capital Bra,2018-11,5
2503,Borsello (feat. Sfera Ebbasta & DrefGold),Guè Pequeno,2018-09,5
