,title,artist,region,date,stream,Rank
116,Wolves,"Selena Gomez, Marshmello",Austria,2017-12,424247,7
117,Perfect,Ed Sheeran,Austria,2017-12,413821,8
118,Sag Nix,RAF Camora,Austria,2017-12,407023,9
119,Silence,"Marshmello, Khalid",Austria,2017-12,398197,10
120,Was du Liebe nennst,Bausa,Austria,2018-01,597351,1
121,River (feat. Ed Sheeran),Eminem,Austria,2018-01,565940,2
122,rockstar,"Post Malone, 21 Savage",Austria,2018-01,505446,3
123,Rooftop,Nico Santos,Austria,2018-01,467710,4
124,Him & I (with Halsey),G-Eazy,Austria,2018-01,441339,5
125,Let You Down,NF,Austria,2018-01,433333,6
126,Wolves,"Selena Gomez, Marshmello",Austria,2018-01,428926,7
127,Silence,"Marshmello, Khalid",Austria,2018-01,407610,8
128,Qa bone,"Azet, RAF Camora",Austria,2018-01,372093,9
129,Perfect,Ed Sheeran,Austria,2018-01,332939,10
130,Señorita,"Shawn Mendes, Camila Cabello",Austria,2019-07,1367938,1
131,Tilidin,"Capital Bra, Samra",Austria,2019-07,1111226,2
132,I Don't Care (with Justin Bieber),Ed Sheeran,Austria,2019-07,784069,3
133,Jetzt rufst du an,Loredana,Austria,2019-07,774671,4
134,Wieder Lila,"Samra, Capital Bra",Austria,2019-07,754659,5
135,Zombie,"Samra, Capital Bra",Austria,2019-07,725636,6
136,Beautiful People (feat. Khalid),Ed Sheeran,Austria,2019-07,717695,7
137,Diamonds (feat. Capital Bra),Summer Cem,Austria,2019-07,665714,8
138,bad guy,Billie Eilish,Austria,2019-07,651374,9
139,Shot,"Ufo361, Data Luv",Austria,2019-07,590105,10
140,Dance Monkey,Tones And I,Austria,2019-10,1905993,1
141,110,"Capital Bra, Samra, LEA",Austria,2019-10,1376306,2
142,Roller,Apache 207,Austria,2019-10,1345130,3
143,Honda Civic,"The Cratez, Bonez MC",Austria,2019-10,924217,4
144,Puta Madre,RAF Camora,Austria,2019-10,876527,5
145,200 km/h,Apache 207,Austria,2019-10,834041,6
146,HIGHEST IN THE ROOM,Travis Scott,Austria,2019-10,763797,7
147,2002,"Sido, Apache 207",Austria,2019-10,742750,8
148,Berlin lebt wie nie zuvor,"Capital Bra, Samra",Austria,2019-10,742381,9
149,Adriana,RAF Camora,Austria,2019-10,660227,10
150,Baby,"Joker Bra, VIZE",Austria,2020-02,1129627,1
151,Blinding Lights,The Weeknd,Austria,2020-02,968277,2
152,Roller,Apache 207,Austria,2020-02,786620,3
153,Dance Monkey,Tones And I,Austria,2020-02,765879,4
154,Donuts,Gzuz,Austria,2020-02,671766,5
155,Kein Wort,"Juju, Loredana, Miksu / Macloud",Austria,2020-02,643027,6
156,The Box,Roddy Ricch,Austria,2020-02,640218,7
157,Mon Ami,Samra,Austria,2020-02,615028,8
158,Falling,Trevor Daniel,Austria,2020-02,583524,9
159,Weiss,Samra,Austria,2020-02,570039,10
160,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Austria,2020-08,1222903,1
161,Hollywood,"LA Vision, Gigi D'Agostino",Austria,2020-08,1003318,2
162,Never Let Me Down,"VIZE, Tom Gregory",Austria,2020-08,772121,3
163,Tilidin Weg,Bonez MC,Austria,2020-08,767616,4
164,Bläulich,Apache 207,Austria,2020-08,765419,5
165,Watermelon Sugar,Harry Styles,Austria,2020-08,741644,6
166,ROCKSTAR (feat. Roddy Ricch),DaBaby,Austria,2020-08,709184,7
167,Alane,"Robin Schulz, Wes",Austria,2020-08,685108,8
168,Andere Welt,"Capital Bra, Clueso, KC Rebell",Austria,2020-08,627227,9
169,In meinem Benz,"AK AUSSERKONTROLLE, Bonez MC",Austria,2020-08,620386,10
170,Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS",Austria,2021-02,1029216,1
171,drivers license,Olivia Rodrigo,Austria,2021-02,904041,2
172,WITHOUT YOU,The Kid LAROI,Austria,2021-02,658871,3
173,Save Your Tears,The Weeknd,Austria,2021-02,594390,4
174,Astronaut In The Ocean,Masked Wolf,Austria,2021-02,590486,5
175,Mood (feat. iann dior),24kGoldn,Austria,2021-02,567468,6
176,The Business,Tiësto,Austria,2021-02,547474,7
177,All We Got (feat. KIDDO),Robin Schulz,Austria,2021-02,500869,8
178,Blinding Lights,The Weeknd,Austria,2021-02,477596,9
179,Afterglow,Ed Sheeran,Austria,2021-02,473472,10
180,Beggin',Måneskin,Austria,2021-07,1591750,1
181,Sommergewitter,Pashanim,Austria,2021-07,1306444,2
182,Bad Habits,Ed Sheeran,Austria,2021-07,1229648,3
183,good 4 u,Olivia Rodrigo,Austria,2021-07,1146600,4
184,I WANNA BE YOUR SLAVE,Måneskin,Austria,2021-07,1085429,5
185,STAY (with Justin Bieber),The Kid LAROI,Austria,2021-07,943247,6
186,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Austria,2021-07,775862,7
187,Zukunft,RAF Camora,Austria,2021-07,700789,8
188,Blaues Licht,"RAF Camora, Bonez MC",Austria,2021-07,679651,9
189,MONTERO (Call Me By Your Name),Lil Nas X,Austria,2021-07,647093,10
190,Dance Monkey,Tones And I,Belgium,2019-10,3185307,1
191,Lalala,"Y2K, bbno$",Belgium,2019-10,1297436,2
192,Señorita,"Shawn Mendes, Camila Cabello",Belgium,2019-10,1267494,3
193,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",Belgium,2019-10,1225735,4
194,Someone You Loved,Lewis Capaldi,Belgium,2019-10,1079838,5
195,HIGHEST IN THE ROOM,Travis Scott,Belgium,2019-10,1016464,6
196,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",Belgium,2019-10,974163,7
197,Instagram,"Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike",Belgium,2019-10,960787,8
198,Ride It,Regard,Belgium,2019-10,958183,9
199,Ransom,Lil Tecca,Belgium,2019-10,930098,10
200,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Belgium,2020-08,1733429,1
201,ROCKSTAR (feat. Roddy Ricch),DaBaby,Belgium,2020-08,1590102,2
202,Jolie nana,Aya Nakamura,Belgium,2020-08,1384210,3
203,Watermelon Sugar,Harry Styles,Belgium,2020-08,1355444,4
204,Jerusalema (feat. Nomcebo Zikode),Master KG,Belgium,2020-08,1350251,5
205,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",Belgium,2020-08,1285055,6
206,Breaking Me,"Topic, A7S",Belgium,2020-08,1204506,7
207,Blinding Lights,The Weeknd,Belgium,2020-08,1096120,8
208,Kings & Queens,Ava Max,Belgium,2020-08,1062950,9
209,Roses - Imanbek Remix,SAINt JHN,Belgium,2020-08,1036792,10
210,Mood (feat. iann dior),24kGoldn,Belgium,2020-09,2326657,1
211,Jerusalema (feat. Nomcebo Zikode),Master KG,Belgium,2020-09,1554743,2
212,Head & Heart (feat. MNEK),Joel Corry,Belgium,2020-09,1504396,3
213,WAP (feat. Megan Thee Stallion),Cardi B,Belgium,2020-09,1498919,4
214,Bande organisée,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",Belgium,2020-09,1476943,5
215,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Belgium,2020-09,1200208,6
216,ROCKSTAR (feat. Roddy Ricch),DaBaby,Belgium,2020-09,1156921,7
217,Watermelon Sugar,Harry Styles,Belgium,2020-09,1112102,8
218,Jolie nana,Aya Nakamura,Belgium,2020-09,1100518,9
219,you broke me first,Tate McRae,Belgium,2020-09,980018,10
220,good 4 u,Olivia Rodrigo,Belgium,2021-06,2441120,1
221,Beggin',Måneskin,Belgium,2021-06,1617816,2
222,MONTERO (Call Me By Your Name),Lil Nas X,Belgium,2021-06,1593096,3
223,I WANNA BE YOUR SLAVE,Måneskin,Belgium,2021-06,1590123,4
224,ZITTI E BUONI,Måneskin,Belgium,2021-06,1572800,5
225,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Belgium,2021-06,1368022,6
226,Petrouchka (feat. PLK),Soso Maness,Belgium,2021-06,1214545,7
227,La kiffance,Naps,Belgium,2021-06,1067746,8
228,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Belgium,2021-06,1022799,9
229,Kiss Me More (feat. SZA),Doja Cat,Belgium,2021-06,1005257,10
230,Cuando Te Besé,"Becky G, Paulo Londra",Bolivia,2018-09,338166,1
231,Vaina Loca,"Ozuna, Manuel Turizo",Bolivia,2018-09,329165,2
232,No Es Justo,"J Balvin, Zion & Lennox",Bolivia,2018-09,288872,3
233,Mala Mía,Maluma,Bolivia,2018-09,285978,4
234,Amigos Con Derechos,"Reik, Maluma",Bolivia,2018-09,281262,5
235,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Bolivia,2018-09,244775,6
236,Sin Pijama,"Becky G, Natti Natasha",Bolivia,2018-09,238208,7
237,Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",Bolivia,2018-09,226809,8
238,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Bolivia,2018-09,226173,9
239,Quiere Beber,Anuel AA,Bolivia,2018-09,210500,10
240,Adan y Eva,Paulo Londra,Bolivia,2019-01,475662,1
241,Calma - Remix,"Pedro Capó, Farruko",Bolivia,2019-01,454039,2
242,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Bolivia,2019-01,445620,3
243,MIA (feat. Drake),Bad Bunny,Bolivia,2019-01,321985,4
244,Te Vi,"Piso 21, Micro TDH",Bolivia,2019-01,298998,5
245,Cuando Te Besé,"Becky G, Paulo Londra",Bolivia,2019-01,267744,6
246,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",Bolivia,2019-01,267069,7
247,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Bolivia,2019-01,263950,8
248,Imposible,"Luis Fonsi, Ozuna",Bolivia,2019-01,250491,9
249,Créeme,"KAROL G, Maluma",Bolivia,2019-01,247999,10
250,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Bolivia,2019-04,456261,1
251,HP,Maluma,Bolivia,2019-04,450698,2
252,Con Calma,"Daddy Yankee, Snow",Bolivia,2019-04,440028,3
253,Secreto,"Anuel AA, KAROL G",Bolivia,2019-04,378863,4
254,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Bolivia,2019-04,361526,5
255,Tal Vez,Paulo Londra,Bolivia,2019-04,321065,6
256,Te Vi,"Piso 21, Micro TDH",Bolivia,2019-04,300024,7
257,Calma - Remix,"Pedro Capó, Farruko",Bolivia,2019-04,291621,8
258,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Bolivia,2019-04,290533,9
259,Un Año,"Sebastian Yatra, Reik",Bolivia,2019-04,263661,10
260,Callaita,"Bad Bunny, Tainy",Bolivia,2019-07,549422,1
261,Otro Trago,"Sech, Darell",Bolivia,2019-07,545039,2
262,LA CANCIÓN,"J Balvin, Bad Bunny",Bolivia,2019-07,505101,3
263,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Bolivia,2019-07,439541,4
264,11 PM,Maluma,Bolivia,2019-07,406971,5
265,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Bolivia,2019-07,312417,6
266,QUE PRETENDES,"J Balvin, Bad Bunny",Bolivia,2019-07,304610,7
267,Tal Vez,Paulo Londra,Bolivia,2019-07,296391,8
268,Señorita,"Shawn Mendes, Camila Cabello",Bolivia,2019-07,292779,9
269,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Bolivia,2019-07,290201,10
270,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,Brazil,2019-07,16437778,1
271,Lençol Dobrado,"João Gustavo e Murilo, Analaga",Brazil,2019-07,15057489,2
272,Evoluiu,"MC Kevin o Chris, Sodré",Brazil,2019-07,14212701,3
273,Tijolão - Ao Vivo,Jorge & Mateus,Brazil,2019-07,14189546,4
274,Vou Ter Que Superar - Ao Vivo,"Matheus & Kauan, Marília Mendonça",Brazil,2019-07,12458234,5
275,Cobaia,"Lauana Prado, Maiara & Maraisa",Brazil,2019-07,11293862,6
276,Señorita,"Shawn Mendes, Camila Cabello",Brazil,2019-07,10794973,7
277,quando a bad bater - ao vivo,Luan Santana,Brazil,2019-07,10684761,8
278,Quando a vontade bater (Participação especial de PK Delas),Pk,Brazil,2019-07,10665985,9
279,Uma nora pra cada dia,MC Kevinho,Brazil,2019-07,9893350,10
280,Oh Juliana,Niack,Brazil,2020-09,22247199,1
281,Investe Em Mim,Jonas Esticado,Brazil,2020-09,19416299,2
282,Recairei - Ao Vivo,Os Barões Da Pisadinha,Brazil,2020-09,16144704,3
283,Quero Você do Jeito Que Quiser,"Marília Mendonça, Maiara & Maraisa",Brazil,2020-09,14524065,4
284,Desce Pro Play (PA PA PA),"Mc Zaac, Anitta, Tyga",Brazil,2020-09,14519872,5
285,Comprei um Lança,Mc Jacaré,Brazil,2020-09,14456836,6
286,Sogra - Ao Vivo,"Dilsinho, Henrique & Juliano",Brazil,2020-09,13878985,7
287,Só Você,MC Rogerinho,Brazil,2020-09,12696595,8
288,Vai Ter Que Aguentar,"Mc Don Juan, Maiara & Maraisa",Brazil,2020-09,12415731,9
289,Volta por Baixo - Ao Vivo,Henrique & Juliano,Brazil,2020-09,12355595,10
290,Recairei - Ao Vivo,Os Barões Da Pisadinha,Brazil,2020-10,22781281,1
291,Investe Em Mim,Jonas Esticado,Brazil,2020-10,21752668,2
292,Oh Juliana,Niack,Brazil,2020-10,18375935,3
293,Só Você,MC Rogerinho,Brazil,2020-10,17184753,4
294,De Menina pra Mulher - Ao Vivo,Gusttavo Lima,Brazil,2020-10,15577904,5
295,Quero Você do Jeito Que Quiser,"Marília Mendonça, Maiara & Maraisa",Brazil,2020-10,14947118,6
296,Figurinha - Ao Vivo,"Douglas & Vinicius, MC Bruninho",Brazil,2020-10,14587106,7
297,Basta Você Me Ligar - Ao Vivo,"Os Barões Da Pisadinha, Xand Avião",Brazil,2020-10,14159496,8
298,Me Gusta (with Cardi B & Myke Towers),Anitta,Brazil,2020-10,14053067,9
299,Sogra - Ao Vivo,"Dilsinho, Henrique & Juliano",Brazil,2020-10,13938629,10
300,Batom de Cereja - Ao Vivo,Israel & Rodolffo,Brazil,2021-04,36034321,1
301,Disco Arranhado - Funk Remix,"Malu, DJ Lucas Beat",Brazil,2021-04,27852909,2
302,Tapão Na Raba,Raí Saia Rodada,Brazil,2021-04,24570173,3
303,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",Brazil,2021-04,22960652,4
304,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",Brazil,2021-04,21916509,5
305,Liberdade (Quando o Grave Bate Forte),"Alok, Mc Don Juan, Dj GBR",Brazil,2021-04,19658136,6
306,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha,Brazil,2021-04,19503035,7
307,Paradigmas,Jorge & Mateus,Brazil,2021-04,18677323,8
308,Coração Na Cama - Ao Vivo,Hugo & Guilherme,Brazil,2021-04,18673477,9
309,Não Pode Se Apaixonar,"Xand Avião, DJ Ivis, Mc Danny",Brazil,2021-04,16059342,10
310,HUMBLE.,Kendrick Lamar,Bulgaria,2017-04,81164,1
311,Shape of You,Ed Sheeran,Bulgaria,2017-04,78646,2
312,Mask Off,Future,Bulgaria,2017-04,53468,3
313,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Bulgaria,2017-04,50737,4
314,Despacito (Featuring Daddy Yankee),Luis Fonsi,Bulgaria,2017-04,46065,5
315,It Ain't Me (with Selena Gomez),Kygo,Bulgaria,2017-04,46003,6
316,Stay (with Alessia Cara),Zedd,Bulgaria,2017-04,41990,7
317,Something Just Like This,"The Chainsmokers, Coldplay",Bulgaria,2017-04,41128,8
318,Symphony (feat. Zara Larsson),Clean Bandit,Bulgaria,2017-04,40156,9
319,DNA.,Kendrick Lamar,Bulgaria,2017-04,40000,10
320,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Bulgaria,2018-10,9161,1
321,Without Me,Halsey,Bulgaria,2018-10,7919,2
322,Venom - Music From The Motion Picture,Eminem,Bulgaria,2018-10,7431,3
323,Lucky You (feat. Joyner Lucas),Eminem,Bulgaria,2018-10,6632,4
324,I Love It (& Lil Pump),Kanye West,Bulgaria,2018-10,6536,5
325,SICKO MODE,Travis Scott,Bulgaria,2018-10,6033,6
326,In My Mind,"Dynoro, Gigi D'Agostino",Bulgaria,2018-10,5495,7
327,STOOPID,"6ix9ine, Bobby Shmurda",Bulgaria,2018-10,5366,8
328,Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",Bulgaria,2018-10,5268,9
329,Killshot,Eminem,Bulgaria,2018-10,4980,10
330,Astronaut In The Ocean,Masked Wolf,Bulgaria,2021-03,212936,1
331,Изкушение,"ToTo H, Slavi Trifonov, Ku-Ku Band",Bulgaria,2021-03,119358,2
332,Up,Cardi B,Bulgaria,2021-03,117491,3
333,Грешна си,"Krisko, Toni Storaro",Bulgaria,2021-03,116729,4
334,Streets,Doja Cat,Bulgaria,2021-03,110621,5
335,The Business,Tiësto,Bulgaria,2021-03,89425,6
336,Whoopty,CJ,Bulgaria,2021-03,87014,7
337,Грешници,"Lidia, Konstantin",Bulgaria,2021-03,77086,8
338,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Bulgaria,2021-03,74519,9
339,Save Your Tears,The Weeknd,Bulgaria,2021-03,73675,10
340,А+Г=ВНЛ,"Galena, Azis",Bulgaria,2021-12,241457,1
341,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Bulgaria,2021-12,111711,2
342,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Bulgaria,2021-12,90621,3
343,Deja Vu,SIMONA,Bulgaria,2021-12,81564,4
344,Heat Waves,Glass Animals,Bulgaria,2021-12,77580,5
345,Shivers,Ed Sheeran,Bulgaria,2021-12,72701,6
346,abcdefu,GAYLE,Bulgaria,2021-12,70690,7
347,All I Want for Christmas Is You,Mariah Carey,Bulgaria,2021-12,69592,8
348,STAY (with Justin Bieber),The Kid LAROI,Bulgaria,2021-12,69230,9
349,MIDDLE OF THE NIGHT,Elley Duhé,Bulgaria,2021-12,66441,10
350,Shape of You,Ed Sheeran,Canada,2017-03,8086661,1
351,It Ain't Me (with Selena Gomez),Kygo,Canada,2017-03,4819281,2
352,Mask Off,Future,Canada,2017-03,4121184,3
353,Something Just Like This,"The Chainsmokers, Coldplay",Canada,2017-03,4100167,4
354,Stay (with Alessia Cara),Zedd,Canada,2017-03,3884177,5
355,Passionfruit,Drake,Canada,2017-03,3740018,6
356,Paris,The Chainsmokers,Canada,2017-03,3623104,7
357,Galway Girl,Ed Sheeran,Canada,2017-03,3494535,8
358,That's What I Like,Bruno Mars,Canada,2017-03,3407380,9
359,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Canada,2017-03,3293067,10
360,rockstar,"Post Malone, 21 Savage",Canada,2017-09,5498093,1
